,,, ,rf,FPT,HPG,BMP,GAS,MWG,PTB,IMP,MSN,VCB,VNM,"AVERAGE
",,,,,,
,,,E(r),0.58%,3.30%,2.26%,2.63%,0.66%,1.09%,1.57%,1.27%,0.55%,1.79%,-0.29%,1.40%,,,,,,
,,,𝞼,0%,8.29%,11.74%,10.68%,9.68%,12.82%,10.53%,9.06%,11.29%,7.85%,5.77%,8.88%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,No.,Combination,Stock i,Stock j,Stock k,wi,wj,wk,Total,E(ri),E(rj),E(rk),𝞼i,𝞼j,𝞼k,"Cov(i,j)","Cov(i,k)","Cov(j,k)",E(rp),𝞼p,Sharpe ratio
,29,FPT-PTB-VCB,FPT,PTB,VCB,87%,5%,8%,100%,3.30%,1.57%,1.79%,8.29%,10.53%,7.85%,0.59%,0.24%,0.37%,3.09%,7.85%,31.99%
,30,FPT-PTB-VNM,FPT,PTB,VNM,90%,5%,5%,100%,3.30%,1.57%,-0.29%,8.29%,10.53%,5.77%,0.59%,0.16%,0.18%,3.04%,7.93%,30.91%
,31,FPT-IMP-MSN,FPT,IMP,MSN,90%,5%,5%,100%,3.30%,1.27%,0.55%,8.29%,9.06%,11.29%,0.20%,0.33%,0.29%,3.06%,7.82%,31.68%
,32,FPT-IMP-VCB,FPT,IMP,VCB,86%,5%,9%,100%,3.30%,1.27%,1.79%,8.29%,9.06%,7.85%,0.20%,0.24%,0.25%,3.06%,7.57%,32.77%
,33,FPT-IMP-VNM,FPT,IMP,VNM,90%,5%,5%,100%,3.30%,1.27%,-0.29%,8.29%,9.06%,5.77%,0.20%,0.16%,0.15%,3.02%,7.70%,31.64%
,34,FPT-MSN-VCB,FPT,MSN,VCB,86%,5%,9%,100%,3.30%,0.55%,1.79%,8.29%,11.29%,7.85%,0.33%,0.24%,0.11%,3.03%,7.64%,31.98%
,35,FPT-MSN-VNM,FPT,MSN,VNM,90%,5%,5%,100%,3.30%,0.55%,-0.29%,8.29%,11.29%,5.77%,0.33%,0.16%,0.11%,2.98%,7.78%,30.84%
,36,FPT-VCB-VNM,FPT,VCB,VNM,88%,7%,5%,100%,3.30%,1.79%,-0.29%,8.29%,7.85%,5.77%,0.24%,0.16%,0.20%,3.02%,7.63%,31.89%
,37,HPG-BMP-GAS,HPG,BMP,GAS,33%,62%,5%,100%,2.26%,2.63%,0.66%,11.74%,10.68%,9.68%,0.32%,0.47%,0.34%,2.41%,8.71%,20.94%
,38,HPG-BMP-MWG,HPG,BMP,MWG,33%,62%,5%,100%,2.26%,2.63%,1.09%,11.74%,10.68%,12.82%,0.32%,0.60%,0.55%,2.43%,8.82%,20.93%
,39,HPG-BMP-PTB,HPG,BMP,PTB,33%,62%,5%,100%,2.26%,2.63%,1.57%,11.74%,10.68%,10.53%,0.32%,0.57%,0.46%,2.45%,8.78%,21.30%
,40,HPG-BMP-IMP,HPG,BMP,IMP,33%,62%,5%,100%,2.26%,2.63%,1.27%,11.74%,10.68%,9.06%,0.32%,0.58%,0.37%,2.44%,8.74%,21.21%
,41,HPG-BMP-MSN,HPG,BMP,MSN,32%,63%,5%,100%,2.26%,2.63%,0.55%,11.74%,10.68%,11.29%,0.32%,0.58%,0.13%,2.41%,8.68%,20.99%
,42,HPG-BMP-VCB,HPG,BMP,VCB,18%,47%,35%,100%,2.26%,2.63%,1.79%,11.74%,10.68%,7.85%,0.32%,0.43%,0.22%,2.27%,7.44%,22.66%
,43,HPG-BMP-VNM,HPG,BMP,VNM,34%,61%,5%,100%,2.26%,2.63%,-0.29%,11.74%,10.68%,5.77%,0.32%,0.16%,0.19%,2.36%,8.57%,20.68%
,44,HPG-GAS-MWG,HPG,GAS,MWG,90%,5%,5%,100%,2.26%,0.66%,1.09%,11.74%,9.68%,12.82%,0.47%,0.60%,0.66%,2.12%,11.05%,13.93%
,45,HPG-GAS-PTB,HPG,GAS,PTB,75%,5%,20%,100%,2.26%,0.66%,1.57%,11.74%,9.68%,10.53%,0.47%,0.57%,0.65%,2.04%,10.21%,14.30%
,46,HPG-GAS-IMP,HPG,GAS,IMP,90%,5%,5%,100%,2.26%,0.66%,1.27%,11.74%,9.68%,9.06%,0.47%,0.58%,0.34%,2.13%,11.03%,14.04%
,47,HPG-GAS-MSN,HPG,GAS,MSN,90%,5%,5%,100%,2.26%,0.66%,0.55%,11.74%,9.68%,11.29%,0.47%,0.58%,0.31%,2.10%,11.03%,13.71%
,48,HPG-GAS-VCB,HPG,GAS,VCB,35%,5%,60%,100%,2.26%,0.66%,1.79%,11.74%,9.68%,7.85%,0.47%,0.43%,0.42%,1.90%,7.84%,16.82%
,49,HPG-GAS-VNM,HPG,GAS,VNM,90%,5%,5%,100%,2.26%,0.66%,-0.29%,11.74%,9.68%,5.77%,0.47%,0.16%,0.24%,2.05%,10.85%,13.55%
,50,HPG-MWG-PTB,HPG,MWG,PTB,76%,5%,19%,100%,2.26%,1.09%,1.57%,11.74%,12.82%,10.53%,0.60%,0.57%,0.88%,2.07%,10.33%,14.40%
,51,HPG-MWG-IMP,HPG,MWG,IMP,90%,5%,5%,100%,2.26%,1.09%,1.27%,11.74%,12.82%,9.06%,0.60%,0.58%,0.41%,2.15%,11.09%,14.16%
,52,HPG-MWG-MSN,HPG,MWG,MSN,90%,5%,5%,100%,2.26%,1.09%,0.55%,11.74%,12.82%,11.29%,0.60%,0.58%,0.54%,2.12%,11.10%,13.82%
,53,HPG-MWG-VCB,HPG,MWG,VCB,33%,5%,62%,100%,2.26%,1.09%,1.79%,11.74%,12.82%,7.85%,0.60%,0.43%,0.34%,1.91%,7.79%,17.08%
,54,HPG-MWG-VNM,HPG,MWG,VNM,90%,5%,5%,100%,2.26%,1.09%,-0.29%,11.74%,12.82%,5.77%,0.60%,0.16%,0.26%,2.08%,10.91%,13.68%
,55,HPG-MWG-IMP,HPG,MWG,IMP,90%,5%,5%,100%,2.26%,1.09%,1.27%,11.74%,12.82%,9.06%,0.60%,0.58%,0.41%,2.15%,11.09%,14.16%
,56,HPG-MWG-MSN,HPG,MWG,MSN,90%,5%,5%,100%,2.26%,1.09%,0.55%,11.74%,12.82%,11.29%,0.60%,0.58%,0.54%,2.12%,11.10%,13.82%
,57,HPG-MWG-VCB,HPG,MWG,VCB,33%,5%,62%,100%,2.26%,1.09%,1.79%,11.74%,12.82%,7.85%,0.60%,0.43%,0.34%,1.91%,7.79%,17.08%
,58,HPG-MWG-VNM,HPG,MWG,VNM,90%,5%,5%,100%,2.26%,1.09%,-0.29%,11.74%,12.82%,5.77%,0.60%,0.16%,0.26%,2.08%,10.91%,13.68%
,59,HPG-MWG-MSN,HPG,MWG,MSN,90%,5%,5%,100%,2.26%,1.09%,0.55%,11.74%,12.82%,11.29%,0.60%,0.58%,0.54%,2.12%,11.10%,13.82%
,60,HPG-MWG-VCB,HPG,MWG,VCB,33%,5%,62%,100%,2.26%,1.09%,1.79%,11.74%,12.82%,7.85%,0.60%,0.43%,0.34%,1.91%,7.79%,17.08%
,61,HPG-MWG-VNM,HPG,MWG,VNM,90%,5%,5%,100%,2.26%,1.09%,-0.29%,11.74%,12.82%,5.77%,0.60%,0.16%,0.26%,2.08%,10.91%,13.68%
,62,HPG-MSN-VCB,HPG,MSN,VCB,32%,5%,63%,100%,2.26%,0.55%,1.79%,11.74%,11.29%,7.85%,0.58%,0.43%,0.11%,1.88%,7.66%,16.95%
,63,HPG-MSN-VNM,HPG,MSN,VNM,90%,5%,5%,100%,2.26%,0.55%,-0.29%,11.74%,11.29%,5.77%,0.58%,0.16%,0.11%,2.05%,10.90%,13.45%
,64,HPG-VCB-VNM,HPG,VCB,VNM,35%,60%,5%,100%,2.26%,1.79%,-0.29%,11.74%,7.85%,5.77%,0.43%,0.16%,0.20%,1.85%,7.67%,16.56%
,65,BMP-GAS-MWG,BMP,GAS,MWG,90%,5%,5%,100%,2.63%,0.66%,1.09%,10.68%,9.68%,12.82%,0.34%,0.55%,0.66%,2.45%,10.07%,18.56%
,66,BMP-GAS-PTB,BMP,GAS,PTB,90%,5%,5%,100%,2.63%,0.66%,1.57%,10.68%,9.68%,10.53%,0.34%,0.46%,0.65%,2.48%,10.03%,18.88%
,67,BMP-GAS-IMP,BMP,GAS,IMP,90%,5%,5%,100%,2.63%,0.66%,1.27%,10.68%,9.68%,9.06%,0.34%,0.37%,0.34%,2.46%,9.97%,18.82%
,68,BMP-GAS-MSN,BMP,GAS,MSN,90%,5%,5%,100%,2.63%,0.66%,0.55%,10.68%,9.68%,11.29%,0.34%,0.13%,0.31%,2.42%,9.87%,18.66%
,69,BMP-GAS-VCB,BMP,GAS,VCB,51%,5%,44%,100%,2.63%,0.66%,1.79%,10.68%,9.68%,7.85%,0.34%,0.22%,0.42%,2.16%,7.45%,21.21%
,70,BMP-GAS-VNM,BMP,GAS,VNM,90%,5%,5%,100%,2.63%,0.66%,-0.29%,10.68%,9.68%,5.77%,0.34%,0.19%,0.24%,2.38%,9.88%,18.21%
,71,BMP-MWG-PTB,BMP,MWG,PTB,90%,5%,5%,100%,2.63%,1.09%,1.57%,10.68%,12.82%,10.53%,0.55%,0.46%,0.88%,2.50%,10.13%,18.89%
,72,BMP-MWG-IMP,BMP,MWG,IMP,90%,5%,5%,100%,2.63%,1.09%,1.27%,10.68%,12.82%,9.06%,0.55%,0.37%,0.41%,2.48%,10.08%,18.84%
,73,BMP-MWG-MSN,BMP,MWG,MSN,90%,5%,5%,100%,2.63%,1.09%,0.55%,10.68%,12.82%,11.29%,0.55%,0.13%,0.54%,2.45%,9.98%,18.67%
,74,BMP-MWG-VCB,BMP,MWG,VCB,50%,5%,45%,100%,2.63%,1.09%,1.79%,10.68%,12.82%,7.85%,0.55%,0.22%,0.34%,2.18%,7.47%,21.33%
